,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,2.484260082244873,934.2111206054688,0.028189480304718018,model.layers.0.self_attn.q_proj,"[4.6336047e-13 1.1545932e-12 2.1706816e-12 ... 1.3723053e+02 2.6900934e+02
 9.3421112e+02]",5288.1748046875,7.379358021265883
1,2.644719123840332,334.8057861328125,0.04568949341773987,model.layers.0.self_attn.k_proj,"[4.63507058e-06 6.02682076e-06 1.00043926e-05 ... 7.56125259e+01
 1.19613365e+02 3.34805786e+02]",2788.12060546875,6.677368211530273
2,4.550015449523926,2.294677495956421,0.034801602363586426,model.layers.0.self_attn.v_proj,[0.00403977 0.00982118 0.01250971 ... 1.3346916  1.720646   2.2946775 ],177.83297729492188,1.6412891100988112
3,3.679245948791504,20.28879165649414,0.0106600821018219,model.layers.0.self_attn.o_proj,"[1.0895704e-08 1.5159491e-08 4.1946123e-08 ... 7.9366775e+00 8.6266327e+00
 2.0288792e+01]",926.4622192382812,4.809717013285052
4,3.0550012588500977,80.61526489257812,0.021462976932525635,model.layers.0.mlp.gate_proj,"[1.5380957e-02 2.7327729e-02 3.1443827e-02 ... 4.5718121e+01 5.3853756e+01
 8.0615265e+01]",7873.390625,5.824107206683096
5,4.1055803298950195,26.38277816772461,0.034644365310668945,model.layers.0.mlp.up_proj,"[1.7631102e-02 3.1900454e-02 3.4054864e-02 ... 1.4380678e+01 1.8013535e+01
 2.6382778e+01]",6478.65771484375,5.835345593342063
6,3.578477144241333,37.83470916748047,0.024949491024017334,model.layers.0.mlp.down_proj,"[ 0.12122844  0.15127528  0.1693184  ... 16.125053   17.692225
 37.83471   ]",6447.74951171875,5.646444732259829
7,3.6082534790039062,154.9749755859375,0.03190964460372925,model.layers.1.self_attn.q_proj,"[2.4501419e-13 6.0442957e-12 1.8125409e-11 ... 4.5012531e+01 5.0490246e+01
 1.5497498e+02]",5681.22900390625,7.90301895372011
8,4.081232070922852,80.29742431640625,0.029623568058013916,model.layers.1.self_attn.k_proj,"[3.8670505e-06 4.1199087e-06 4.2057663e-06 ... 3.5240963e+01 3.8205349e+01
 8.0297424e+01]",2900.9619140625,7.773529315571911
9,8.69781494140625,1.5669100284576416,0.05120140314102173,model.layers.1.self_attn.v_proj,[0.01180924 0.02126971 0.02442911 ... 0.810786   0.9233529  1.56691   ],252.5235595703125,1.6964571403002824
10,3.748562812805176,21.060218811035156,0.02122218906879425,model.layers.1.self_attn.o_proj,"[6.9073922e-12 7.0333361e-09 1.3374361e-07 ... 4.7796431e+00 8.4507933e+00
 2.1060219e+01]",1196.97802734375,4.9610837327108115
11,3.15513277053833,45.07822036743164,0.022318542003631592,model.layers.1.mlp.gate_proj,"[2.6527362e-02 2.8662406e-02 3.0912628e-02 ... 1.9220985e+01 1.9847811e+01
 4.5078220e+01]",8065.765625,5.2184847331194195
12,4.553865909576416,10.117338180541992,0.033850014209747314,model.layers.1.mlp.up_proj,"[ 0.02790699  0.0288942   0.03113247 ...  7.078078    7.2728124
 10.117338  ]",6674.1884765625,4.576937009678895
13,4.785832405090332,21.431941986083984,0.021694421768188477,model.layers.1.mlp.down_proj,"[ 0.06110392  0.08046477  0.09241109 ... 10.1438875  10.789891
 21.431942  ]",6629.388671875,6.370237379582011
14,3.384737968444824,87.84066772460938,0.027039289474487305,model.layers.2.self_attn.q_proj,"[5.5513861e-11 1.6494875e-10 1.3084424e-09 ... 2.3575674e+01 2.7829309e+01
 8.7840668e+01]",5139.6220703125,6.578900392636163
15,5.521236896514893,47.77888488769531,0.03451316058635712,model.layers.2.self_attn.k_proj,"[7.3250908e-06 5.0054783e-05 7.7161792e-05 ... 1.6553709e+01 2.0228590e+01
 4.7778885e+01]",3026.875,9.271459813745599
16,4.909847259521484,0.8970564007759094,0.044630587100982666,model.layers.2.self_attn.v_proj,[0.0081888  0.00992867 0.01092601 ... 0.7574385  0.7905491  0.8970564 ],178.3081512451172,-0.23164782425173153
17,3.2410364151000977,16.166656494140625,0.013638615608215332,model.layers.2.self_attn.o_proj,"[9.5207486e-09 2.8071089e-08 6.8900512e-08 ... 4.8252673e+00 5.0790629e+00
 1.6166656e+01]",1013.618896484375,3.9171821146197225
18,4.607850074768066,60.69951629638672,0.022454917430877686,model.layers.2.mlp.gate_proj,"[1.7761806e-02 1.8715195e-02 1.9106906e-02 ... 1.6894583e+01 1.8748449e+01
 6.0699516e+01]",8531.05078125,8.216650196642544
