,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,1.2986905574798584,933.9048461914062,0.1370416283607483,model.layers.0.self_attn.q_proj,"[5.4507061e-13 1.2873942e-12 2.7936100e-12 ... 1.3721519e+02 2.6883426e+02
 9.3390485e+02]",5287.462890625,3.857503977186789
1,1.3894069194793701,334.8089904785156,0.12777090072631836,model.layers.0.self_attn.k_proj,"[4.6351006e-06 6.0282177e-06 1.0002998e-05 ... 7.5613731e+01 1.1961956e+02
 3.3480899e+02]",2788.11865234375,3.50797057685575
2,2.5519471168518066,2.294891119003296,0.12697333097457886,model.layers.0.self_attn.v_proj,[0.00403862 0.00982176 0.01251541 ... 1.3348399  1.7205228  2.294891  ],177.83274841308594,0.920645763403958
3,1.6980397701263428,20.295717239379883,0.15683794021606445,model.layers.0.self_attn.o_proj,"[6.3042274e-09 1.5712146e-08 4.4513126e-08 ... 7.9385405e+00 8.6265545e+00
 2.0295717e+01]",926.4732666015625,2.220024673036674
4,2.615420341491699,80.6480484008789,0.0837472677230835,model.layers.0.mlp.gate_proj,"[1.5381240e-02 2.7326612e-02 3.1440984e-02 ... 4.5708241e+01 5.3847767e+01
 8.0648048e+01]",7873.2939453125,4.986544370621774
5,3.0481181144714355,26.38114356994629,0.1093558669090271,model.layers.0.mlp.up_proj,"[1.7630395e-02 3.1898066e-02 3.4055039e-02 ... 1.4383903e+01 1.8010796e+01
 2.6381144e+01]",6478.5576171875,4.33227082123386
6,3.1648643016815186,37.83590316772461,0.11272233724594116,model.layers.0.mlp.down_proj,"[ 0.12123358  0.15130778  0.16931725 ... 16.12698    17.693508
 37.835903  ]",6447.84765625,4.99385237440494
7,1.4853856563568115,155.04994201660156,0.14150255918502808,model.layers.1.self_attn.q_proj,"[2.3273831e-13 6.3310741e-12 1.7437229e-11 ... 4.5058861e+01 5.0505062e+01
 1.5504994e+02]",5681.3837890625,3.253695107420715
8,1.6946853399276733,80.29837036132812,0.1413944959640503,model.layers.1.self_attn.k_proj,"[3.8669673e-06 4.1196245e-06 4.2057636e-06 ... 3.5239773e+01 3.8205376e+01
 8.0298370e+01]",2900.95751953125,3.227878574653642
9,2.7811098098754883,1.566969394683838,0.14108943939208984,model.layers.1.self_attn.v_proj,[0.01180826 0.02126946 0.02442735 ... 0.81071854 0.9234538  1.5669694 ],252.5234375,0.5424847093216483
