2024-08-14 04:55:44;INFO;

Glue/cola Seed 41 Batch Size 1 alpha_mid_False 14 Layers
2024-08-14 04:55:44;INFO;
Total param      : 6738.423808
Train param      : 631.242752
Dataset          : glue
Method           : alpha_mid
Layers           : 14
Batch size       : 1
Learning Rate    : 0.0002
Train Samples    : 8551
Eval Samples     : 1043
Eval Loss        : 0.26717427372932434
Eval Acc         : 0.6912751677852349
Forward time     : 7.085938175519307 min
Backward time    : 14.997283526261647 min
Weight memory    : 26953.712128 MB
Optimizer memory : 5049.942016 MB
Activation memory: 587.5974800720384 MB
Gradient memory  : 2552.3358268534676 MB
Input memory     : 0.00256 MB
Total memory     : 34556.860928 MB
Peak memory      : 37086.055936 MB


