,alpha,spectral_norm,D,longname,eigs,norm,alphahat
0,1.2986791133880615,934.357666015625,0.13701540231704712,model.layers.0.self_attn.q_proj,"[2.2924476e-13 3.1381495e-13 1.3712712e-12 ... 1.3723604e+02 2.6891037e+02
 9.3435767e+02]",5288.4404296875,3.857743388040213
1,1.3894150257110596,334.83203125,0.12777268886566162,model.layers.0.self_attn.k_proj,"[4.6346945e-06 6.0266834e-06 1.0004717e-05 ... 7.5597733e+01 1.1961591e+02
 3.3483203e+02]",2788.0908203125,3.5080325676451958
2,2.55208158493042,2.29475474357605,0.12699002027511597,model.layers.0.self_attn.v_proj,[0.00397342 0.00983567 0.01251907 ... 1.3349038  1.7205247  2.2947547 ],177.8323974609375,0.9206284077030954
3,1.6979416608810425,20.297840118408203,0.15669411420822144,model.layers.0.self_attn.o_proj,"[5.1206208e-09 1.3185159e-08 5.1570225e-08 ... 7.9396667e+00 8.6242790e+00
 2.0297840e+01]",926.4574584960938,2.2199735313584825
4,2.615875244140625,80.64873504638672,0.0837705135345459,model.layers.0.mlp.gate_proj,"[1.53744845e-02 2.73206066e-02 3.14524733e-02 ... 4.57098999e+01
 5.38498650e+01 8.06487350e+01]",7873.32568359375,4.987421357708451
5,3.046628475189209,26.386310577392578,0.10958993434906006,model.layers.0.mlp.up_proj,"[1.7630644e-02 3.1896379e-02 3.4055926e-02 ... 1.4384143e+01 1.8015717e+01
 2.6386311e+01]",6478.7001953125,4.330412729900024
6,3.1651763916015625,37.837154388427734,0.1126852035522461,model.layers.0.mlp.down_proj,"[ 0.12118133  0.15132152  0.16931568 ... 16.12249    17.691538
 37.837154  ]",6447.4453125,4.994390279799539
7,1.4853887557983398,155.01515197753906,0.14143234491348267,model.layers.1.self_attn.q_proj,"[1.8938552e-13 6.8761971e-12 1.6562552e-11 ... 4.5027325e+01 5.0495853e+01
 1.5501515e+02]",5681.2294921875,3.2535571340244216
8,1.6946964263916016,80.29315185546875,0.14138317108154297,model.layers.1.self_attn.k_proj,"[3.8670514e-06 4.1195976e-06 4.2058218e-06 ... 3.5241924e+01 3.8209175e+01
 8.0293152e+01]",2900.97265625,3.2278518578780364
9,2.781033992767334,1.566892385482788,0.14103013277053833,model.layers.1.self_attn.v_proj,[0.01181213 0.02127447 0.02443198 ... 0.8106452  0.9233199  1.5668924 ],252.5228271484375,0.5424105618337933
10,1.7565319538116455,21.054109573364258,0.1586517095565796,model.layers.1.self_attn.o_proj,"[1.3719124e-11 6.9490542e-09 1.4546025e-07 ... 4.7803020e+00 8.4557390e+00
 2.1054110e+01]",1197.0078125,2.3244835133290396
11,2.681652784347534,45.08292007446289,0.08728021383285522,model.layers.1.mlp.gate_proj,"[2.6519975e-02 2.8657744e-02 3.0912571e-02 ... 1.9221302e+01 1.9851767e+01
 4.5082920e+01]",8065.732421875,4.4354859871979935
12,2.8796591758728027,10.116263389587402,0.11757802963256836,model.layers.1.mlp.up_proj,"[ 0.02788845  0.02888684  0.03113183 ...  7.0780764   7.2725024
 10.116263  ]",6673.97265625,2.8941154341665536
13,3.255516529083252,21.43352699279785,0.13324368000030518,model.layers.1.mlp.down_proj,"[ 0.06100667  0.080447    0.09242667 ... 10.144662   10.790591
 21.433527  ]",6629.29296875,4.333397354023963
14,1.658902645111084,87.82449340820312,0.15625733137130737,model.layers.2.self_attn.q_proj,"[4.7854734e-11 1.6165176e-10 1.2870229e-09 ... 2.3575466e+01 2.7833807e+01
 8.7824493e+01]",5139.6796875,3.224269148440249
